id,pincode,created_at,update_ad
,515631,,
,515581,,
,515581,,
,515581,,
,515581,,
,515571,,
,515631,,
,515631,,
,515581,,
,515581,,
,515581,,
,515581,,
,515571,,
,515571,,
,515571,,
,515311,,
,515311,,
,515311,,
,515281,,
,515241,,
,515311,,
,515311,,
,515311,,
,515311,,
,515311,,
,515281,,
,515281,,
,515281,,
,515281,,
,515241,,
,534176,,
,813105,,
,813105,,
,813105,,
,813105,,
,813203,,
,813203,,
,813203,,
,853202,,
,853202,,
,853202,,
,853202,,
,813222,,
,813222,,
,812005,,
,812005,,
,666666,,
